Classe;Navio;Bandeira;Nav;Cheg/Arrival;Carimbo;Agência;Operaç;Mercadoria;DUV;Prioridade;Terminal;Com/Len;Cal/Draft;Peso;Viagem
CONTEINERES;LOG-IN ENDURANCE;BRASILEIRA;Cabo;2/8/22 5:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;240252022;B;EPORT 1/TECON 1;213;9;3150;2306--
CONTEINERES;MEHUIN;LIBERIANA;Long;2/8/22 10:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;295882022;B;B.T.P. 1;306;10;1080;2881-5
CONTEINERES;LOG-IN PANTANAL;BRASILEIRA;Cabo;3/8/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;300592022;B;EPORT 1/TECON 1;183;9;3600;2913-4
CONTEINERES;FERNÃO DE MAGALHÃES;BRASILEIRA;Cabo;4/8/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;274912022;B;TECON;228;9;1800;2682-2
CONTEINERES;MONTE SARMIENTO;BRASILEIRA;Cabo;4/8/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;267582022;B;TECON;272;9;1800;2696-3
CONTEINERES;NORTHERN DEMOCRAT;LIBERIANA;Long;4/8/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;291942022;B;EPORT 1/TECON 1;231;7;4536;2846-5
CONTEINERES;CMA CGM VERACRUZ;MALTESA;Long;4/8/22 20:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;253912022;B;EPORT 1/TECON 1;229;9;1800;2519-4
CONTEINERES;BALLENITA;ILHAS MARSHALL;Long;5/8/22 2:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;293782022;B;EPORT 1/TECON 1;209;9;1800;2904-5
CONTEINERES;SEASPAN OSPREY;HONG KONG;Long;5/8/22 5:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;281872022;B;B.T.P. 1;330;13.1;15300;2749-0
CONTEINERES;AL SAFAT;LIBERIANA;Long;6/8/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;294562022;B;TECON;306;7;16956;2856--
CONTEINERES;ANTOFAGASTA EXPRESS;CHILENA;Long;8/8/22 5:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;294682022;B;TECON;224;7;12834;2855-4
CONTEINERES;TEMPANOS;LIBERIANA;Long;8/8/22 10:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CONTEINERES CHEIOS;295822022;B;EPORT 1/TECON 1;300;12;1620;2906-8
CONTEINERES;LOG-IN JATOBÁ;BRASILEIRA;Long;8/8/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;300612022;B;EPORT 1/TECON 1;218;9;3150;2911-1
CONTEINERES;DIMITRIS C;MALTESA;Long;8/8/22 17:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;293372022;B;EPORT 1/TECON 1;243;9;1800;2875-5
CONTEINERES;MERCOSUL GUARANI;BRASILEIRA;Long;9/8/22 10:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;284472022;B;EPORT 1/TECON 1;207;9;1800;2777-3
CONTEINERES;LOG-IN PANTANAL;BRASILEIRA;Cabo;10/8/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;300632022;B;EPORT 1/TECON 1;183;9;3600;2915-7
CONTEINERES;AMERICO VESPUCIO;BRASILEIRA;Cabo;11/8/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;274892022;B;TECON;228;9;1800;2683-9
CONTEINERES;MONTE SARMIENTO;BRASILEIRA;Cabo;11/8/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;274982022;B;TECON;272;9;1800;2679-1
CONTEINERES;COSCO SHIPPING THAMES;HONG KONG;Long;11/8/22 10:00;;COSCO BRASIL S/A;EMB;CONTEINERES CHEIOS;288822022;B;EPORT 1/TECON 1;300;10.8;2700;2809-2
CONTEINERES;LOG-IN ENDURANCE;BRASILEIRA;Long;15/8/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;300642022;B;EPORT 1/TECON 1;213;9;3150;2912-8
CONTEINERES;LOG-IN DISCOVERY;LIBERIANA;Long;16/8/22 5:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;300652022;B;EPORT 1/TECON 1;209;9;3150;2910-5
CONTEINERES;MERCOSUL SUAPE;BRASILEIRA;Cabo;17/8/22 1:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;296982022;B;EPORT 1/TECON 1;211;9;1800;2900-0
CONTEINERES;LOG-IN PANTANAL;BRASILEIRA;Cabo;17/8/22 12:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;300672022;B;EPORT 1/TECON 1;183;9;3600;2914--
CONTEINERES;FERNÃO DE MAGALHÃES;BRASILEIRA;Cabo;18/8/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;274962022;B;TECON;228;9;1800;2680-0
CONTEINERES;SEASPAN HARRIER;HONG KONG;Long;19/8/22 5:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;294022022;B;B.T.P. 1;330;14.4;15300;2841-3
CONTEINERES;LUTETIA;LIBERIANA;Long;19/8/22 7:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;293482022;B;EPORT 1/TECON 1;221;9;1800;2874-9
CONTEINERES;LUTETIA;LIBERIANA;Long;22/8/22 13:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;293552022;B;EPORT 1/TECON 1;221;9;1800;2876-1
CONTEINERES;MERCOSUL GUARANI;BRASILEIRA;Long;22/8/22 20:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;297152022;B;EPORT 1/TECON 1;207;9;1800;2901-6
CONTEINERES;LOG-IN JATOBÁ;BRASILEIRA;Long;23/8/22 5:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;300702022;B;EPORT 1/TECON 1;218;9;3150;2899-1
CONTEINERES;ANTHEA Y;LIBERIANA;Long;25/8/22 0:01;;COSCO BRASIL S/A;EMB;CONTEINERES VAZIOS;288932022;B;EPORT 1/TECON 1;300;10.8;450;2847-1
CONTEINERES;MONTE SARMIENTO;BRASILEIRA;Cabo;25/8/22 4:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;275262022;B;TECON;272;9;1800;2697-0
CONTEINERES;CMA CGM ARISTOTE;BRASILEIRA;Cabo;25/8/22 9:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;CONTEINERES CHEIOS;294012022;B;EPORT 1/TECON 1;170;9;1800;2903-9
CONTEINERES;LOG-IN ENDURANCE;BRASILEIRA;Long;30/8/22 5:00;;AGÊNCIA MARÍTIMA ORION;EMB;CONTEINERES CHEIOS;300732022;B;EPORT 1/TECON 1;213;9;3150;2905-1
PRIORIDADE C3;SIFNOS;LIBERIANA;Long;4/7/22 21:12;2607-7;AGÊNCIA MARÍTIMA ORION;EMB;ACUCAR;281522022;C3;ULTRAFERTIL;190;12;42100;2738-8
PRIORIDADE C3;UAL AFRICA;HOLANDESA;Long;8/7/22 7:10;2658-1;ROCHAMAR AGENCIA MARITIMA S/A;EMB;CAFE;281812022;C3;30/31;119;6.5;4000;2774-4
PRIORIDADE C3;ALPHA DELPHINI;BRASILEIRA;Cabo;12/7/22 0:00;;USP INSTITUTO OCEANOGRAFICO;;;103292022;C3;12A-13/14-20/21;26;2.3;;0969-2
PRIORIDADE C3;GENCO BRITTANY;ILHAS MARSHALL;Long;16/7/22 7:00;;AGÊNCIA MARÍTIMA ORION;EMB;ACUCAR;291312022;C3;ULTRAFERTIL;190;7;46360;2860-8
PRIORIDADE C5;BERGE PHAN XI PANG;ILHA DE MAN;Long;12/4/22 8:00;1391-9;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB;OUTROS;150942022;C5;CODESP-RUA;180;7;1;1458-1
PRIORIDADE C5;COSCO SHIPPING JIN XIU;CHINESA;Long;12/7/22 0:00;;ISS MARINE SERVICES LTDA.;EMB;PAPEL E CELULOSE;271932022;C5;EPORT 1/TECON 1;202;11;18600;2737-1
PRIORIDADE C5;SAVEIROS GAIVOTA;BRASILEIRA;Long;12/7/22 0:00;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB;OUTROS;223292022;C5;SAIPEN;62;4;10;2089-0
SEM PRIORIDADE;VOLZEE;BRASILEIRA;Long;26/5/22 19:00;2023--;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;CARGA GERAL;227702022;B;CODESP-RUA;58;3.4;1;2170-1
SEM PRIORIDADE;CLIPPER LIS;ILHAS MARSHALL;Long;15/6/22 18:55;2315-9;WAYPOINT AGENCIA MARITIMA LTDA;EMB;CARGA GERAL;258022022;B;CAIS SABOO;169;7;100;2456-2
SEM PRIORIDADE;CHARBEL;SAO-VICENTINA;Long;1/7/22 12:12;2563-1;WILLIAMS SERVICOS MARITIMOS LTDA.;EMB;CARGA GERAL;281712022;B;32;172;8.1;25000;2744-8
SEM PRIORIDADE;HAFNIA AMETRINE;ILHAS MARSHALL;Long;12/7/22 0:00;;AGÊNCIA MARÍTIMA ORION;DESC;FERTILIZANTES;269752022;B;ILHA;184;9;17956;2589-2
SEM PRIORIDADE;HORIZON ELECTRA;ILHAS MARSHALL;Cabo;12/7/22 0:00;;ISS MARINE SERVICES LTDA.;EMB;CONSUMO DE BORDO;274632022;SP;23;183;6.6;21;2625-9
SEM PRIORIDADE;REB. VIGO MAXIMUS;BRASILEIRA;Long;12/7/22 0:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;CARGA GERAL;124832022;B;CODESP-RUA;20;2.5;1;1169-0
SEM PRIORIDADE;TS 3;BRASILEIRA;Long;12/7/22 0:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;CARGA GERAL;240462022;B;CODESP-RUA;75;1.8;1;2302-5
SEM PRIORIDADE;GREAT ZHOU;PANAMENHA;Long;13/7/22 19:00;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB;PAPEL E CELULOSE;301992022;B;35/37;200;7;2000;2920--
SEM PRIORIDADE;CAPE TRAFALGAR;PANAMENHA;Cabo;14/7/22 5:00;;AGÊNCIA MARÍTIMA ORION;DESC;PRODUTOS SIDERURGICOS;289282022;B;USIMINAS;190;7;31896;2817-5
SEM PRIORIDADE;HERAKLITOS;PANAMENHA;Cabo;22/7/22 9:00;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;DESC;PRODUTOS SIDERURGICOS;289592022;B;USIMINAS;178;8;30000;2815-2
